property_city,property_state,property_county
holtsville,NY,Suffolk
adjuntas,PR,Adjuntas
aguada,PR,Aguada
aguadilla,PR,Aguadilla
maricao,PR,Maricao
anasco,PR,Anasco
angeles,PR,Utuado
arecibo,PR,Arecibo
bajadero,PR,Arecibo
barceloneta,PR,Barceloneta
boqueron,PR,Cabo Rojo
cabo rojo,PR,Cabo Rojo
penuelas,PR,Penuelas
camuy,PR,Camuy
castaner,PR,Lares
rosario,PR,San German
sabana grande,PR,Sabana Grande
ciales,PR,Ciales
utuado,PR,Utuado
dorado,PR,Dorado
ensenada,PR,Guanica
florida,PR,Florida
garrochales,PR,Arecibo
guanica,PR,Guanica
guayanilla,PR,Guayanilla
hatillo,PR,Hatillo
hormigueros,PR,Hormigueros
isabela,PR,Isabela
jayuya,PR,Jayuya
lajas,PR,Lajas
lares,PR,Lares
las marias,PR,Las Marias
manati,PR,Manati
moca,PR,Moca
rincon,PR,Rincon
quebradillas,PR,Quebradillas
mayaguez,PR,Mayaguez
san german,PR,San German
san sebastian,PR,San Sebastian
morovis,PR,Morovis
sabana hoyos,PR,Arecibo
san antonio,PR,Aguadilla
vega alta,PR,Vega Alta
vega baja,PR,Vega Baja
yauco,PR,Yauco
aguas buenas,PR,Aguas Buenas
aguirre,PR,Salinas
aibonito,PR,Aibonito
maunabo,PR,Maunabo
arroyo,PR,Arroyo
mercedita,PR,Ponce
ponce,PR,Ponce
naguabo,PR,Naguabo
naranjito,PR,Naranjito
orocovis,PR,Orocovis
palmer,PR,Rio Grande
patillas,PR,Patillas
caguas,PR,Caguas
canovanas,PR,Canovanas
ceiba,PR,Ceiba
cayey,PR,Cayey
fajardo,PR,Fajardo
cidra,PR,Cidra
puerto real,PR,Fajardo
punta santiago,PR,Humacao
roosevelt roads,PR,Ceiba
rio blanco,PR,Naguabo
rio grande,PR,Rio Grande
salinas,PR,Salinas
san lorenzo,PR,San Lorenzo
santa isabel,PR,Santa Isabel
vieques,PR,Vieques
villalba,PR,Villalba
yabucoa,PR,Yabucoa
coamo,PR,Coamo
las piedras,PR,Las Piedras
loiza,PR,Loiza
luquillo,PR,Luquillo
culebra,PR,Culebra
juncos,PR,Juncos
gurabo,PR,Gurabo
coto laurel,PR,Ponce
comerio,PR,Comerio
corozal,PR,Corozal
guayama,PR,Guayama
la plata,PR,Aibonito
humacao,PR,Humacao
barranquitas,PR,Barranquitas
juana diaz,PR,Juana Diaz
st thomas,VI,Saint Thomas
christiansted,VI,Saint Croix
st john,VI,Saint John
frederiksted,VI,Saint Croix
kingshill,VI,Saint Croix
san juan,PR,San Juan
fort buchanan,PR,Guaynabo
gpo,PR,San Juan
toa baja,PR,Toa Baja
sabana seca,PR,Toa Baja
toa alta,PR,Toa Alta
bayamon,PR,Bayamon
catano,PR,Catano
guaynabo,PR,Guaynabo
trujillo alto,PR,Trujillo Alto
saint just,PR,Trujillo Alto
carolina,PR,Carolina
agawam,MA,Hampden
amherst,MA,Hampshire
barre,MA,Worcester
belchertown,MA,Hampshire
blandford,MA,Hampden
bondsville,MA,Hampden
brimfield,MA,Hampden
chester,MA,Hampden
chesterfield,MA,Hampshire
chicopee,MA,Hampden
cummington,MA,Hampshire
easthampton,MA,Hampshire
east longmeadow,MA,Hampden
east otis,MA,Berkshire
feeding hills,MA,Hampden
gilbertville,MA,Worcester
goshen,MA,Hampshire
granby,MA,Hampshire
granville,MA,Hampden
hadley,MA,Hampshire
hampden,MA,Hampden
hardwick,MA,Worcester
hatfield,MA,Hampshire
haydenville,MA,Hampshire
holyoke,MA,Hampden
huntington,MA,Hampshire
leeds,MA,Hampshire
leverett,MA,Franklin
ludlow,MA,Hampden
monson,MA,Hampden
north amherst,MA,Hampshire
northampton,MA,Hampshire
florence,MA,Hampshire
north hatfield,MA,Hampshire
oakham,MA,Worcester
palmer,MA,Hampden
plainfield,MA,Hampshire
russell,MA,Hampden
shutesbury,MA,Franklin
southampton,MA,Hampshire
south barre,MA,Worcester
south hadley,MA,Hampshire
southwick,MA,Hampden
thorndike,MA,Hampden
three rivers,MA,Hampden
wales,MA,Hampden
ware,MA,Hampshire
warren,MA,Worcester
west chesterfield,MA,Hampshire
westfield,MA,Hampden
west hatfield,MA,Hampshire
west springfield,MA,Hampden
west warren,MA,Worcester
whately,MA,Franklin
wheelwright,MA,Worcester
wilbraham,MA,Hampden
williamsburg,MA,Hampshire
woronoco,MA,Hampden
worthington,MA,Hampshire
springfield,MA,Hampden
longmeadow,MA,Hampden
indian orchard,MA,Hampden
pittsfield,MA,Berkshire
adams,MA,Berkshire
ashley falls,MA,Berkshire
becket,MA,Berkshire
berkshire,MA,Berkshire
cheshire,MA,Berkshire
dalton,MA,Berkshire
glendale,MA,Berkshire
great barrington,MA,Berkshire
hinsdale,MA,Berkshire
housatonic,MA,Berkshire
lanesboro,MA,Berkshire
lee,MA,Berkshire
lenox,MA,Berkshire
lenox dale,MA,Berkshire
middlefield,MA,Hampshire
mill river,MA,Berkshire
monterey,MA,Berkshire
north adams,MA,Berkshire
north egremont,MA,Berkshire
otis,MA,Berkshire
richmond,MA,Berkshire
sandisfield,MA,Berkshire
savoy,MA,Berkshire
sheffield,MA,Berkshire
south egremont,MA,Berkshire
southfield,MA,Berkshire
south lee,MA,Berkshire
stockbridge,MA,Berkshire
tyringham,MA,Berkshire
west stockbridge,MA,Berkshire
williamstown,MA,Berkshire
windsor,MA,Berkshire
greenfield,MA,Franklin
ashfield,MA,Franklin
athol,MA,Worcester
bernardston,MA,Franklin
buckland,MA,Franklin
charlemont,MA,Franklin
colrain,MA,Franklin
conway,MA,Franklin
deerfield,MA,Franklin
drury,MA,Berkshire
erving,MA,Franklin
heath,MA,Franklin
lake pleasant,MA,Franklin
millers falls,MA,Franklin
monroe bridge,MA,Franklin
montague,MA,Franklin
gill,MA,Franklin
new salem,MA,Franklin
northfield,MA,Franklin
orange,MA,Franklin
petersham,MA,Worcester
rowe,MA,Franklin
royalston,MA,Worcester
shelburne falls,MA,Franklin
south deerfield,MA,Franklin
sunderland,MA,Franklin
turners falls,MA,Franklin
warwick,MA,Franklin
wendell,MA,Franklin
wendell depot,MA,Franklin
fitchburg,MA,Worcester
ashburnham,MA,Worcester
ashby,MA,Middlesex
ayer,MA,Middlesex
devens,MA,Middlesex
baldwinville,MA,Worcester
east templeton,MA,Worcester
gardner,MA,Worcester
westminster,MA,Worcester
groton,MA,Middlesex
harvard,MA,Worcester
hubbardston,MA,Worcester
leominster,MA,Worcester
littleton,MA,Middlesex
lunenburg,MA,Worcester
pepperell,MA,Middlesex
shirley,MA,Middlesex
still river,MA,Worcester
templeton,MA,Worcester
townsend,MA,Middlesex
west groton,MA,Middlesex
west townsend,MA,Middlesex
winchendon,MA,Worcester
winchendon springs,MA,Worcester
auburn,MA,Worcester
berlin,MA,Worcester
blackstone,MA,Worcester
boylston,MA,Worcester
brookfield,MA,Worcester
charlton,MA,Worcester
charlton city,MA,Worcester
charlton depot,MA,Worcester
clinton,MA,Worcester
east brookfield,MA,Worcester
douglas,MA,Worcester
east princeton,MA,Worcester
fiskdale,MA,Worcester
grafton,MA,Worcester
holden,MA,Worcester
holland,MA,Hampden
jefferson,MA,Worcester
lancaster,MA,Worcester
leicester,MA,Worcester
linwood,MA,Worcester
manchaug,MA,Worcester
millbury,MA,Worcester
millville,MA,Worcester
new braintree,MA,Worcester
northborough,MA,Worcester
northbridge,MA,Worcester
north brookfield,MA,Worcester
north grafton,MA,Worcester
north oxford,MA,Worcester
north uxbridge,MA,Worcester
oxford,MA,Worcester
princeton,MA,Worcester
rochdale,MA,Worcester
rutland,MA,Worcester
shrewsbury,MA,Worcester
southbridge,MA,Worcester
south grafton,MA,Worcester
south lancaster,MA,Worcester
spencer,MA,Worcester
sterling,MA,Worcester
sturbridge,MA,Worcester
upton,MA,Worcester
uxbridge,MA,Worcester
webster,MA,Worcester
dudley,MA,Worcester
westborough,MA,Worcester
emc,MA,Worcester
west boylston,MA,Worcester
west brookfield,MA,Worcester
west millbury,MA,Worcester
whitinsville,MA,Worcester
sutton,MA,Worcester
worcester,MA,Worcester
cherry valley,MA,Worcester
paxton,MA,Worcester
framingham,MA,Middlesex
village of nagog woods,MA,Middlesex
boxborough,MA,Middlesex
acton,MA,Middlesex
ashland,MA,Middlesex
bedford,MA,Middlesex
hanscom afb,MA,Middlesex
bolton,MA,Worcester
carlisle,MA,Middlesex
concord,MA,Middlesex
fayville,MA,Worcester
holliston,MA,Middlesex
hopedale,MA,Worcester
hopkinton,MA,Middlesex
hudson,MA,Middlesex
marlborough,MA,Middlesex
maynard,MA,Middlesex
mendon,MA,Worcester
milford,MA,Worcester
natick,MA,Middlesex
sherborn,MA,Middlesex
southborough,MA,Worcester
lincoln,MA,Middlesex
stow,MA,Middlesex
sudbury,MA,Middlesex
wayland,MA,Middlesex
woodville,MA,Middlesex
woburn,MA,Middlesex
burlington,MA,Middlesex
andover,MA,Essex
billerica,MA,Middlesex
chelmsford,MA,Middlesex
dracut,MA,Middlesex
dunstable,MA,Middlesex
haverhill,MA,Essex
georgetown,MA,Essex
groveland,MA,Essex
lawrence,MA,Essex
methuen,MA,Essex
north andover,MA,Essex
lowell,MA,Middlesex
merrimac,MA,Essex
north billerica,MA,Middlesex
north chelmsford,MA,Middlesex
north reading,MA,Middlesex
nutting lake,MA,Middlesex
pinehurst,MA,Middlesex
reading,MA,Middlesex
tewksbury,MA,Middlesex
tyngsboro,MA,Middlesex
wakefield,MA,Middlesex
west boxford,MA,Essex
westford,MA,Middlesex
