city,county,state,n,lat,lon
Adelanto,San Bernardino,CA,2,34.6,-117.5
Agoura Hills,Los Angeles,CA,7,34.12,-118.77
Alameda,Alameda,CA,1,37.75,-122.25999999999999
Alamogordo,Otero,NM,1,32.8,-106.1
Albuquerque,Bernalillo,NM,1,35.10058823529412,-106.61882352941177
Alhambra,Los Angeles,CA,6,34.085,-118.13499999999999
Aliquippa,Beaver,PA,1,40.6,-80.3
Aliso Viejo,Orange,CA,4,33.56,-117.73
Altadena,Los Angeles,CA,1,34.22,-118.13
Amityville,Suffolk,NY,1,40.69,-73.41
Anaheim,Orange,CA,31,33.83571428571429,-117.88
Apache Junction,Maricopa,AZ,1,33.41,-111.53
Apple Valley,San Bernardino,CA,10,34.5,-117.1
Arcadia,Los Angeles,CA,1,34.13,-118.03999999999999
Atascadero,San Luis Obispo,CA,2,35.5,-120.7
Avalon,Los Angeles,CA,1,33.4,-118.5
Avon Lake,Lorain,OH,1,41.5,-82.02
Azusa,Los Angeles,CA,2,34.2,-117.8
Bakersfield,Kern,CA,2,35.341818181818184,-119.00999999999999
Barstow,San Bernardino,CA,1,35.0,-117.0
Baton Rouge,East Baton Rouge,LA,1,30.448947368421052,-91.106
Beaumont,Riverside,CA,1,33.9,-117.0
Beaverton,Washington,OR,1,45.4825,-122.835
Bell,Los Angeles,CA,8,33.9811953,-118.1966756
Bell Gardens,Los Angeles,CA,15,33.98,-118.17
Bellflower,Los Angeles,CA,19,33.89,-118.13
Beverly Hills,Los Angeles,CA,1,34.074999999999996,-118.40033333333334
Big Bear,San Bernardino,CA,2,34.2448679,-116.9376367
Bloomington,San Bernardino,CA,1,34.06,-117.39
Blythe,Riverside,CA,1,33.8,-115.1
Brea,Orange,CA,2,33.93,-117.85499999999999
Brooklyn,Kings,NY,2,40.652972972972975,-73.95702702702702
Brownsville,Cameron,TX,1,25.993333333333336,-97.42
Buena Park,Orange,CA,2,33.86,-118.0
Burbank,Los Angeles,CA,6,34.188,-118.322
Byron,Contra Costa,CA,1,37.84,-121.62
California City,Kern,CA,1,35.1,-117.9
Camarillo,Ventura,CA,3,34.215,-119.03
Canoga Park,Los Angeles,CA,1,34.215,-118.615
Canton,Cherokee,GA,1,34.25,-84.45
Canton,Wayne,MI,1,42.31,-83.49
Canyon Country,Los Angeles,CA,1,34.42,-118.43
Carson,Los Angeles,CA,6,33.852,-118.25933333333334
Castro Valley,Alameda,CA,1,37.71,-122.03999999999999
Cathedral City,Riverside,CA,1,33.82,-116.47
Charlotte,Mecklenburg,NC,1,35.205925925925925,-80.82703703703703
Chatsworth,Los Angeles,CA,3,34.3,-118.6
Chicago,Cook,IL,2,41.86817857142857,-87.673625
Chico,Butte,CA,3,39.78,-121.81333333333333
Chino,San Bernardino,CA,4,33.980000000000004,-117.67500000000001
Chino Hills,San Bernardino,CA,1,33.95,-117.73
Chula Vista,San Diego,CA,4,32.628,-116.998
Cincinnati,Hamilton,OH,1,39.172,-84.48822222222222
Claremont,Los Angeles,CA,1,34.16,-117.71
Clarksville,Montgomery,TN,3,36.53333333333333,-87.33333333333333
Cleveland,Cuyahoga,OH,2,41.479827586206895,-81.65003448275863
Clovis,Fresno,CA,2,36.843333333333334,-119.66666666666667
Coachella,Riverside,CA,1,33.69,-116.15
Cocoa,Brevard,FL,1,28.416666666666668,-80.78666666666668
Cohoes,Albany,NY,1,42.79,-73.72
Colton,San Bernardino,CA,2,34.03,-117.28
Compton,Los Angeles,CA,17,33.88666666666666,-118.22666666666667
Concord,Contra Costa,CA,1,37.965,-122.005
Corning,Tehama,CA,1,39.9,-122.3
Corona,Riverside,CA,6,33.846,-117.554
Coronado,San Diego,CA,2,32.65,-117.17
Costa Mesa,Orange,CA,17,33.665,-117.91
Crestline,San Bernardino,CA,1,34.24,-117.27
Culver City,Los Angeles,CA,5,34.010000000000005,-118.39500000000001
Cypress,Orange,CA,1,33.82,-118.04
Dallas,Dallas,TX,2,32.809626,-96.80035400000001
Daly City,San Mateo,CA,1,37.685,-122.46000000000001
Dana Point,Orange,CA,1,33.48,-117.71
Davis,Yolo,CA,1,38.58,-121.75999999999999
Daytona Beach,Volusia,FL,1,29.189999999999998,-81.05799999999999
Decatur,Dekalb,GA,1,33.751999999999995,-84.26
Delano,Kern,CA,1,35.8,-119.1
Denton,Denton,TX,1,33.199999999999996,-97.12666666666667
Desert Hot,Riverside,CA,1,33.961776,-116.6153409
Diamond Bar,Los Angeles,CA,2,33.99,-117.82
Discovery Bay,Contra Costa,CA,1,37.88,-121.59
Dothan,Houston,AL,1,31.213333333333335,-85.43666666666667
Downey,Los Angeles,CA,26,33.94,-118.13
Durant,Bryan,OK,1,34.0,-96.4
El Cajon,San Diego,CA,3,32.803333333333335,-116.90666666666668
El Monte,Los Angeles,CA,7,34.075,-118.03
El Segundo,Los Angeles,CA,4,33.92,-118.4
Elk Grove,Sacramento,CA,1,38.39,-121.39
Encino,Los Angeles,CA,1,34.155,-118.5
Fallbrook,San Diego,CA,1,33.4,-117.3
Flint,Genesee,MI,1,43.022000000000006,-83.736
Florence,Rankin,MS,2,32.1,-90.1
Folsom,Sacramento,CA,1,38.67,-121.15
Fontana,San Bernardino,CA,8,34.096666666666664,-117.46333333333332
Foothill Ranch,Orange,CA,1,33.69,-117.66
Fort Walton,Okaloosa,FL,1,30.4365363,-86.6623618
Fort Worth,Denton,TX,6,32.75246875,-97.33165625
Fremont,Alameda,CA,1,37.5375,-121.99
Fresno,Fresno,CA,4,36.775555555555556,-119.7961111111111
Fullerton,Orange,CA,7,33.8825,-117.9225
Garden Grove,Orange,CA,7,33.774,-117.968
Gardena,Los Angeles,CA,11,33.88666666666666,-118.30333333333333
Gilbert,Maricopa,AZ,1,33.31333333333333,-111.75166666666667
Gilroy,Santa Clara,CA,1,37.0,-121.5
Glendale,Los Angeles,CA,10,34.15833333333333,-118.25422222222223
Glendale,Maricopa,AZ,1,33.586666666666666,-112.20777777777778
Glendora,Los Angeles,CA,2,34.14,-117.845
Goshen,Elkhart,IN,1,41.6,-85.85
Grand Prairie,Dallas,TX,1,32.69,-97.00999999999999
Grand Terrace,San Bernardino,CA,2,34.03,-117.31
Greenwood,Greenwood,SC,2,34.150000000000006,-82.1
Gresham,Multnomah,OR,1,45.504999999999995,-122.415
Guerneville,Sonoma,CA,1,38.52,-122.99
Hacienda Heights,Los Angeles,CA,2,34.0,-117.98
Hanford,Kings,CA,1,36.3,-119.6
Harbor City,Los Angeles,CA,3,33.8,-118.3
Hawaiian Gardens,Los Angeles,CA,2,33.83,-118.07
Hawthorne,Los Angeles,CA,34,33.91,-118.35
Hayward,Alameda,CA,3,37.6475,-122.08250000000001
Hemet,Riverside,CA,4,33.68333333333334,-116.94333333333333
Henderson,Clark,NV,1,35.9875,-115.035
Hephzibah,Richmond,GA,1,33.3,-82.1
Hesperia,San Bernardino,CA,5,34.394999999999996,-117.35499999999999
Highland,San Bernardino,CA,1,34.15,-117.15
Honolulu,Honolulu,HI,2,21.309583333333332,-157.82483333333332
Hopkinsville,Christian,KY,1,36.9,-87.5
Houston,Harris,TX,9,29.775376288659793,-95.41505979381444
Huntington Beach,Orange,CA,16,33.6975,-118.0075
Huntington Park,Los Angeles,CA,8,33.98,-118.21
Imperial Beach,San Diego,CA,1,32.57,-117.12
Independence,Jackson,MO,1,39.10125,-94.38875
